Response_ID,Industry,SaaS_Business_Model,Company_Size_Employees,Role,FP&A_Team_Size,Primary_FP&A_Stack,Source_System_Categories,Q_Exact_Source_System_Count,Q_Automation_Level_1to5,Derived_Integration_Gap_1to5,Q_FP&A_Time_on_Data_Preparation_Pct,Q_Exact_Consolidation_Team_Hours_Per_Month,Q_Manual_Data_Transfers_Per_Cycle,Q_Spreadsheet_Dependency_1to5,Q_Discrepancy_Frequency_1to5,Q_Manual_Correction_Frequency_1to5,Q_Reconciliation_Hours_Per_Month,Q_Material_Corrections_Last_3_Cycles,Q_Reporting_Lag_Business_Days,Q_Data_Related_Additional_Delay_Days,Q_Time_to_Finance_Ready_Data_Days,Q_Forecast_Revision_Frequency_1to5,Q_Strategic_Time_Limitation_1to5,Q_Problem_Severity_1to5,Q_Improvement_Priority_1to5,Q_Current_Solution_Adequacy_1to5,Q_Existing_Investment,Issue_Time_Consuming_Collection,Issue_Manual_Cleaning_Transformation,Issue_Mapping_Difficulty,Issue_Reconciliation,Issue_Manual_Spreadsheet_Consolidation,Issue_Data_Related_Reporting_Delays,Issue_Data_Related_Forecast_Revisions,Derived_Problem_Prevalence_Flag,Q_Willing_Followup_Interview
R01,SaaS / Software,B2C SaaS,250-499,FP&A Analyst,4,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,10,2,4,40,76,22,5,5,5,29,3,5.9,2.2,4.1,4,5,5,5,1,"Yes, significant investment",1,0,0,1,1,1,0,1,Yes
R02,SaaS / Software,Vertical SaaS,"1,000-1,999",Senior FP&A Analyst,8,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,9,1,5,50,98,20,4,4,3,33,3,5.7,1.8,3.9,4,5,5,5,1,"Yes, significant investment",1,1,0,1,0,1,0,1,Yes
R03,SaaS / Software,Vertical SaaS,250-499,VP Finance / CFO,5,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,7,3,3,29,75,16,3,4,3,10,1,3.5,1.6,2.2,4,4,3,3,3,Considering investment,1,1,0,1,0,0,0,1,No
R04,SaaS / Software,Hybrid subscription,250-499,FP&A Manager,3,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,7,4,2,18,40,12,3,3,3,10,1,2.6,1.2,2.0,2,2,3,3,4,No,1,0,0,1,0,0,1,1,No
R05,SaaS / Software,Vertical SaaS,500-999,Finance Systems / Finance Operations,4,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,4,2,10,55,14,2,3,2,14,0,2.3,1.2,2.3,3,4,3,2,4,No,1,1,1,1,0,0,0,1,Yes
R06,SaaS / Software,B2B SaaS,"1,000-1,999",Finance Systems / Finance Operations,8,Custom warehouse/BI + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,4,2,22,59,13,3,3,3,16,1,4.4,0.7,2.1,3,2,3,1,4,No,0,0,1,1,0,0,0,1,No
R07,SaaS / Software,B2B SaaS,"1,000-1,999",FP&A Analyst,7,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake; Product/Usage Database,10,2,4,38,56,20,5,5,5,17,3,3.7,2.0,2.8,4,5,5,4,2,"Yes, significant investment",1,1,0,1,1,0,1,1,No
R08,SaaS / Software,Hybrid subscription,500-999,FP&A Manager,4,Dedicated FP&A platform + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics; Data Warehouse/Lake,8,2,4,36,63,14,4,4,4,20,2,5.3,1.6,3.0,5,5,4,4,3,"Yes, some investment",1,1,0,1,1,0,1,1,Yes
R09,SaaS / Software,B2B SaaS,500-999,Head/Director of FP&A,5,Excel + BI,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,4,2,17,43,14,4,3,3,16,1,3.4,2.7,2.4,3,3,3,2,3,Considering investment,0,1,0,1,1,1,0,1,No
R10,SaaS / Software,B2B SaaS,250-499,FP&A Manager,5,ERP + Excel,ERP/Accounting; CRM; Billing/Subscription; Department Spreadsheets; HRIS/Payroll; BI/Analytics,6,5,1,25,31,12,3,2,2,14,0,4.5,1.3,1.8,2,1,2,1,5,No,0,0,0,0,0,0,0,0,Yes
